"DateTime","Users","Average Users"
"2018-11-09 00:00:00",411,
"2018-11-10 00:00:00",463,
"2018-11-11 00:00:00",430,
"2018-11-12 00:00:00",384,
"2018-11-13 00:00:00",595,
"2018-11-14 00:00:00",4680,
"2018-11-15 00:00:00",2900,
"2018-11-16 00:00:00",489,
"2018-11-17 00:00:00",463,
"2018-11-18 00:00:00",447,
"2018-11-19 00:00:00",382,
"2018-11-20 00:00:00",6546,
"2018-11-21 00:00:00",3463,
"2018-11-22 00:00:00",809,
"2018-11-23 00:00:00",490,
"2018-11-24 00:00:00",557,
"2018-11-25 00:00:00",463,
"2018-11-26 00:00:00",562,
"2018-11-27 00:00:00",5870,
"2018-11-28 00:00:00",6087,
"2018-11-29 00:00:00",3313,
"2018-11-30 00:00:00",617,
"2018-12-01 00:00:00",7406,
"2018-12-02 00:00:00",516,
"2018-12-03 00:00:00",532,
"2018-12-04 00:00:00",6377,
"2018-12-05 00:00:00",4110,
"2018-12-06 00:00:00",5536,
"2018-12-07 00:00:00",466,
"2018-12-08 00:00:00",437,
"2018-12-09 00:00:00",420,
"2018-12-10 00:00:00",464,
"2018-12-11 00:00:00",6403,
"2018-12-12 00:00:00",4022,
"2018-12-13 00:00:00",4176,
"2018-12-14 00:00:00",1845,
"2018-12-15 00:00:00",512,
"2018-12-16 00:00:00",484,
"2018-12-17 00:00:00",411,
"2018-12-18 00:00:00",7478,
"2018-12-19 00:00:00",4503,
"2018-12-20 00:00:00",1501,
"2018-12-21 00:00:00",1075,
"2018-12-22 00:00:00",2786,
"2018-12-23 00:00:00",1671,
"2018-12-24 00:00:00",695,
"2018-12-25 00:00:00",1432,
"2018-12-26 00:00:00",967,
"2018-12-27 00:00:00",950,
"2018-12-28 00:00:00",944,
"2018-12-29 00:00:00",2126,
"2018-12-30 00:00:00",1716,
"2018-12-31 00:00:00",869,
"2019-01-01 00:00:00",900,
"2019-01-02 00:00:00",1487,
"2019-01-03 00:00:00",10439,
"2019-01-04 00:00:00",7945,
"2019-01-05 00:00:00",663,
"2019-01-06 00:00:00",607,
"2019-01-07 00:00:00",602,
"2019-01-08 00:00:00",8167,
"2019-01-09 00:00:00",5207,
"2019-01-10 00:00:00",1234,
"2019-01-11 00:00:00",4505,
"2019-01-12 00:00:00",1435,
"2019-01-13 00:00:00",593,
"2019-01-14 00:00:00",562,
"2019-01-15 00:00:00",7755,
"2019-01-16 00:00:00",7143,
"2019-01-17 00:00:00",7538,
"2019-01-18 00:00:00",6112,
"2019-01-19 00:00:00",632,
"2019-01-20 00:00:00",704,
"2019-01-21 00:00:00",616,
"2019-01-22 00:00:00",9402,
"2019-01-23 00:00:00",8408,
"2019-01-24 00:00:00",546,
"2019-01-25 00:00:00",519,
"2019-01-26 00:00:00",645,
"2019-01-27 00:00:00",1247,
"2019-01-28 00:00:00",712,
"2019-01-29 00:00:00",9117,
"2019-01-30 00:00:00",14304,
"2019-01-31 00:00:00",1007,
"2019-02-01 00:00:00",615,
"2019-02-02 00:00:00",16321,
"2019-02-03 00:00:00",3410,
"2019-02-04 00:00:00",596,
"2019-02-05 00:00:00",5554,
"2019-02-06 00:00:00",8064,
"2019-02-07 00:00:00",9011,
"2019-02-08 00:00:00",3855,
"2019-02-09 00:00:00",869,
"2019-02-10 00:00:00",1698,
"2019-02-11 00:00:00",994,
"2019-02-12 00:00:00",9468,
"2019-02-13 00:00:00",7641,
"2019-02-14 00:00:00",3678,
"2019-02-15 00:00:00",539,
"2019-02-16 00:00:00",1528,
"2019-02-17 00:00:00",887,
"2019-02-18 00:00:00",689,
"2019-02-19 00:00:00",679,
"2019-02-20 00:00:00",9226,
"2019-02-21 00:00:00",858,
"2019-02-22 00:00:00",951,
"2019-02-23 00:00:00",867,
"2019-02-24 00:00:00",728,
